code,report_month,region,commodity,item,year,period,value,min_value,max_value
CORN_WORLD_23,2020-10,Russia,Corn,Beginning Stocks,2020/21 Proj.,Oct,0.8,,
CORN_WORLD_23,2020-10,Russia,Corn,Production,2020/21 Proj.,Oct,15.0,,
CORN_WORLD_23,2020-10,Russia,Corn,Imports,2020/21 Proj.,Oct,0.04,,
CORN_WORLD_23,2020-10,Russia,Corn,Domestic Feed,2020/21 Proj.,Oct,9.9,,
CORN_WORLD_23,2020-10,Russia,Corn,Domestic Total 2/,2020/21 Proj.,Oct,11.0,,
CORN_WORLD_23,2020-10,Russia,Corn,Exports,2020/21 Proj.,Oct,3.9,,
CORN_WORLD_23,2020-10,Russia,Corn,Ending Stocks,2020/21 Proj.,Oct,0.94,,
CORN_WORLD_23,2020-10,South Africa,Corn,Beginning Stocks,2020/21 Proj.,Sep,2.21,,
CORN_WORLD_23,2020-10,South Africa,Corn,Production,2020/21 Proj.,Sep,14.0,,
CORN_WORLD_23,2020-10,South Africa,Corn,Imports,2020/21 Proj.,Sep,0.0,,
CORN_WORLD_23,2020-10,South Africa,Corn,Domestic Feed,2020/21 Proj.,Sep,6.6,,
CORN_WORLD_23,2020-10,South Africa,Corn,Domestic Total 2/,2020/21 Proj.,Sep,12.3,,
CORN_WORLD_23,2020-10,South Africa,Corn,Exports,2020/21 Proj.,Sep,2.3,,
CORN_WORLD_23,2020-10,South Africa,Corn,Ending Stocks,2020/21 Proj.,Sep,1.61,,
CORN_WORLD_23,2020-10,South Africa,Corn,Beginning Stocks,2020/21 Proj.,Oct,2.21,,
CORN_WORLD_23,2020-10,South Africa,Corn,Production,2020/21 Proj.,Oct,14.0,,
CORN_WORLD_23,2020-10,South Africa,Corn,Imports,2020/21 Proj.,Oct,0.0,,
CORN_WORLD_23,2020-10,South Africa,Corn,Domestic Feed,2020/21 Proj.,Oct,6.6,,
CORN_WORLD_23,2020-10,South Africa,Corn,Domestic Total 2/,2020/21 Proj.,Oct,12.3,,
CORN_WORLD_23,2020-10,South Africa,Corn,Exports,2020/21 Proj.,Oct,2.3,,
